indice_tiempo,superficie_sembrada_mijo_ha,superficie_cosechada_mijo_ha,produccion_mijo_t,rendimiento_mijo_kgxha
1935,25260,20500,25951,1266
1936,30426,20660,15622,756
1937,118286,57549,54580.5,948
1938,104736,79816,90220,1130
1939,132417,98656,104243,1057
1940,66257,35017,41161.4,1175
1941,68570,36595,38708.34,1058
1942,84020,36638,39330.9,1074
1943,48742,28860.25,27840.9,965
1944,57180,40553,43471,1072
1945,144879,82587,66483.1,805
1946,297789,148516,119846,807
1947,349842,281033,265797,946
1948,166600,81615,56550,693
1949,143650,83535,61940,741
1950,217940,162895,137448,844
1951,536620,273760,207800,759
1952,470880,329380,290340,881
1953,185330,125685,103880,827
1954,199160,140885,123480,876
1955,238800,193616,229000,1183
1956,217400,165822,157100,947
1957,338400,154657,163400,1057
1958,321200,207907,215500,1037
1959,283200,207420,247000,1191
1960,291500,201400,260600,1294
1961,244600,159200,215000,1351
1962,214300,145340,154500,1063
1963,249700,167600,189000,1128
1964,206700,114800,113000,984
1965,231200,163353,186400,1141
1966,265150,188150,224100,1191
1967,287750,210050,228700,1089
1968,285600,197100,195500,992
1969,242700,131580,125200,952
1970,231000,151350,183000,1209
1971,217200,115800,105000,907
1972,276900,198450,227000,1144
1973,271500,208100,228500,1098
1974,278000,194400,200000,1029
1975,319200,230600,293700,1274
1976,350000,255000,340000,1333
1977,340000,244000,330000,1352
1978,345000,238000,310000,1303
1979,278000,182200,188000,1032
1980,338200,187400,238000,1270
1981,236000,131800,154000,1168
1982,224000,160200,178600,1115
1983,207300,113700,136000,1196
1984,228000,125400,158000,1260
1985,176000,93900,107000,1140
1986,136200,62200,76900,1236
1987,106300,58500,80000,1368
1988,87200,25710,30000,1167
1989,105300,49400,65300,1322
1990,148000,90000,136000,1511
1991,122000,72500,117000,1614
1992,57700,35700,59300,1661
1993,69200,35800,52500,1466
1994,86700,48025,65450,1363
1995,89000,44460,46819,1053
1996,121310,43120,44224,1026
1997,106510,36755,46185,1257
1998,88900,32250,45660,1416
1999,91100,30810,47620,1546
2000,79500,17680,31210,1765
2001,55200,14730,28070,1906
2002,49850,11850,21850,1844
2003,49800,7207,11375,1578
2004,27638,9368,16276,1737
2005,30710,9770,15518,1588
2006,38310,10230,14484,1416
2007,41965,10475,14824,1415
2008,25930,3410,5880,1724
2009,32800,6675,9115,1366
2010,36700,4700,7990,1700
2011,41700,9890,17414,1761
2012,41350,6120,11192,1829
2013,16170,2250,2670,1187
2014,11120,2040,4640,2275
2015,12980,4420,6867,1554
2016,6940,2770,5328,1923
2017,6380,1800,2254,1252
2018,7998,2188,4140,1892
2019,11173,3513,5442,1549
